ts_iso,t_rel_s,board,valid,dist_m,raw_hex,dt_s,fps
2025-10-31 15:59:00,0.0000,0,0,6553.500,fb 03 00 04 00 00 ff ff 00,,
2025-10-31 15:59:00,0.4015,0,1,42.200,fb 03 00 04 01 00 a6 01 aa,0.4015,2.491
2025-10-31 15:59:01,0.6518,0,1,53.500,fb 03 00 04 01 00 17 02 1c,0.2503,3.995
2025-10-31 15:59:01,0.9673,0,1,37.400,fb 03 00 04 01 00 76 01 7a,0.3155,3.169
2025-10-31 15:59:01,1.2338,0,1,53.100,fb 03 00 04 01 00 13 02 18,0.2664,3.753
2025-10-31 15:59:01,1.5273,0,1,226.300,fb 03 00 04 01 00 d7 08 e2,0.2936,3.407
2025-10-31 15:59:02,1.9082,0,1,227.800,fb 03 00 04 01 00 e6 08 f1,0.3809,2.626
2025-10-31 15:59:02,2.3020,0,1,227.300,fb 03 00 04 01 00 e1 08 ec,0.3938,2.539
2025-10-31 15:59:03,2.7021,0,1,227.200,fb 03 00 04 01 00 e0 08 eb,0.4001,2.499
2025-10-31 15:59:03,3.0952,0,1,225.900,fb 03 00 04 01 00 d3 08 de,0.3931,2.544
2025-10-31 15:59:03,3.4913,0,1,226.200,fb 03 00 04 01 00 d6 08 e1,0.3961,2.525
2025-10-31 15:59:04,3.8702,0,1,226.700,fb 03 00 04 01 00 db 08 e6,0.3789,2.640
2025-10-31 15:59:04,4.2666,0,1,226.900,fb 03 00 04 01 00 dd 08 e8,0.3964,2.522
2025-10-31 15:59:05,4.6589,0,1,227.600,fb 03 00 04 01 00 e4 08 ef,0.3923,2.549
2025-10-31 15:59:05,5.0542,0,1,227.600,fb 03 00 04 01 00 e4 08 ef,0.3953,2.530
2025-10-31 15:59:05,5.4739,0,1,227.500,fb 03 00 04 01 00 e3 08 ee,0.4196,2.383
2025-10-31 15:59:06,5.8485,0,1,227.200,fb 03 00 04 01 00 e0 08 eb,0.3746,2.669
2025-10-31 15:59:06,6.2454,0,1,226.200,fb 03 00 04 01 00 d6 08 e1,0.3969,2.519
2025-10-31 15:59:07,6.6469,0,1,227.000,fb 03 00 04 01 00 de 08 e9,0.4014,2.491
2025-10-31 15:59:07,7.0465,0,1,226.700,fb 03 00 04 01 00 db 08 e6,0.3996,2.502
